pathwayDb	network	module	term	termId	P.hypergeom	P.noncentral	P.hypergeom.bonf	P.noncentral.bonf	P.hypergeom.fdr	P.noncentral.fdr
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of protein localization to nucleus	GO:1900180	1.85E-02	1.79E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of transcription factor import into nucleus	GO:0042990	2.43E-02	2.20E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	Fc-epsilon receptor signaling pathway	GO:0038095	7.40E-03	9.43E-03	1.00E+00	1.00E+00	9.27E-01	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043122	2.80E-05	2.05E-05	1.00E+00	1.00E+00	1.11E-02	1.09E-02
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of intracellular signal transduction	GO:1902532	2.38E-02	1.82E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043124	8.83E-03	6.72E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular protein catabolic process	GO:0044257	3.42E-02	2.44E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of circadian rhythm	GO:0042752	2.78E-02	2.47E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of circadian rhythm	GO:0042753	1.18E-03	1.28E-03	1.00E+00	1.00E+00	2.33E-01	3.16E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	Fc receptor signaling pathway	GO:0038093	1.93E-02	2.07E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	stimulatory C-type lectin receptor signaling pathway	GO:0002223	3.63E-03	4.43E-03	1.00E+00	1.00E+00	5.58E-01	7.74E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	antigen receptor-mediated signaling pathway	GO:0050851	1.66E-03	1.97E-03	1.00E+00	1.00E+00	3.04E-01	4.29E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	G2/M transition of mitotic cell cycle	GO:0000086	3.93E-02	2.37E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	activation of innate immune response	GO:0002218	2.51E-04	2.22E-04	1.00E+00	1.00E+00	6.82E-02	8.13E-02
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of immune response	GO:0050778	3.82E-03	2.80E-03	1.00E+00	1.00E+00	5.80E-01	5.63E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	T cell receptor signaling pathway	GO:0050852	6.52E-04	9.83E-04	1.00E+00	1.00E+00	1.46E-01	2.58E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	stress-activated protein kinase signaling cascade	GO:0031098	3.27E-02	2.80E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein catabolic process	GO:0030163	4.57E-02	3.44E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein destabilization	GO:0031648	4.17E-03	5.12E-03	1.00E+00	1.00E+00	6.20E-01	8.65E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of cellular protein localization	GO:1903827	4.92E-02	3.30E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of cellular protein localization	GO:1903828	4.86E-02	3.42E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of innate immune response	GO:0045089	5.76E-04	4.26E-04	1.00E+00	1.00E+00	1.32E-01	1.35E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of innate immune response	GO:0045088	2.44E-03	1.59E-03	1.00E+00	1.00E+00	4.11E-01	3.71E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	immune response-activating cell surface receptor signaling pathway	GO:0002429	8.83E-03	7.25E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of proteasomal protein catabolic process	GO:0061136	4.94E-02	4.96E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of sequence-specific DNA binding transcription factor activity	GO:0051090	3.36E-04	3.28E-04	1.00E+00	1.00E+00	8.57E-02	1.11E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0043433	2.96E-04	2.31E-04	1.00E+00	1.00E+00	7.77E-02	8.38E-02
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	mammary gland epithelial cell proliferation	GO:0033598	3.58E-02	4.36E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of translational initiation	GO:0045947	5.61E-02	4.89E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of translational initiation	GO:0006446	1.64E-02	1.51E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of translation in response to endoplasmic reticulum stress	GO:0036493	9.07E-03	9.60E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to virus	GO:0009615	2.24E-02	1.62E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	defense response to virus	GO:0051607	6.51E-03	4.17E-03	1.00E+00	1.00E+00	8.56E-01	7.38E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of translation in response to stress	GO:0043555	5.61E-02	4.88E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation	GO:1903912	1.51E-02	1.15E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	defense response to other organism	GO:0098542	5.10E-02	3.71E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of translational initiation in response to stress	GO:0032058	1.21E-02	9.57E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular response to cold	GO:0070417	1.81E-02	1.91E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	activation of MAPKKK activity	GO:0000185	2.99E-02	3.41E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	activation of protein kinase activity	GO:0032147	3.92E-02	3.72E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of protein serine/threonine kinase activity	GO:0071902	4.24E-02	4.17E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of NLRP3 inflammasome complex assembly	GO:1900225	2.40E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of NLRP3 inflammasome complex assembly	GO:1900227	1.21E-02	1.53E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	dentate gyrus development	GO:0021542	4.17E-02	4.16E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of epithelial cell proliferation involved in prostate gland development	GO:0060768	2.99E-02	3.61E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular response to UV-B	GO:0071493	1.81E-02	1.73E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	dendrite extension	GO:0097484	1.81E-02	9.64E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	Golgi localization	GO:0051645	2.70E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to UV	GO:0009411	3.93E-02	3.65E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of epithelial cell proliferation involved in prostate gland development	GO:0060770	1.81E-02	2.10E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of TORC1 signaling	GO:1903432	3.58E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of protein localization to nucleus	GO:1900182	4.28E-02	4.77E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of TORC1 signaling	GO:1904262	1.81E-02	1.34E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	anoikis	GO:0043276	2.70E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive thymic T cell selection	GO:0045059	2.40E-02	2.30E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of transforming growth factor beta receptor signaling pathway	GO:0017015	2.60E-02	2.33E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to UV-B	GO:0010224	7.91E-04	7.22E-04	1.00E+00	1.00E+00	1.70E-01	2.03E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein deubiquitination	GO:0016579	2.83E-02	3.40E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein modification by small protein removal	GO:0070646	3.28E-02	3.71E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of NF-kappaB transcription factor activity	GO:0032088	4.75E-04	3.76E-04	1.00E+00	1.00E+00	1.14E-01	1.23E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	copper ion homeostasis	GO:0055070	4.46E-02	3.41E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	plasma membrane to endosome transport	GO:0048227	2.40E-02	1.34E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of sodium ion transmembrane transport	GO:1902306	3.29E-02	3.80E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of protein localization to cell surface	GO:2000009	2.10E-02	1.72E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of sodium ion transport	GO:0010766	3.87E-02	4.35E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	sodium ion transport	GO:0006814	3.46E-02	2.54E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043123	1.10E-02	1.02E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of hematopoietic stem cell proliferation	GO:1902035	1.21E-02	5.75E-03	1.00E+00	1.00E+00	1.00E+00	9.19E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of hematopoietic stem cell proliferation	GO:1902033	1.81E-02	1.34E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of hematopoietic progenitor cell differentiation	GO:1901532	3.87E-02	3.61E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of chondrocyte differentiation	GO:0032330	5.54E-03	6.26E-03	1.00E+00	1.00E+00	7.62E-01	9.72E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	negative regulation of NIK/NF-kappaB signaling	GO:1901223	1.81E-02	9.61E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of miRNA metabolic process	GO:2000630	1.51E-02	1.73E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	nucleotide-binding oligomerization domain containing 2 signaling pathway	GO:0070431	1.21E-02	1.54E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	pattern recognition receptor signaling pathway	GO:0002221	3.34E-03	2.32E-03	1.00E+00	1.00E+00	5.24E-01	4.87E-01
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular response to nicotine	GO:0071316	2.40E-02	2.87E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to cobalamin	GO:0033590	9.07E-03	1.16E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	membrane protein intracellular domain proteolysis	GO:0031293	5.04E-02	4.35E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to muramyl dipeptide	GO:0032495	4.17E-02	4.73E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of type I interferon production	GO:0032481	1.46E-02	1.03E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of type I interferon production	GO:0032479	3.60E-02	2.77E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of cartilage development	GO:0061035	1.03E-02	1.34E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of interleukin-12 biosynthetic process	GO:0045075	2.40E-02	3.42E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of miRNA metabolic process	GO:2000628	1.81E-02	2.11E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of interleukin-12 biosynthetic process	GO:0045084	1.81E-02	2.11E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	response to hepatocyte growth factor	GO:0035728	4.75E-02	5.46E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular response to hepatocyte growth factor stimulus	GO:0035729	4.17E-02	4.73E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	toll-like receptor 4 signaling pathway	GO:0034142	4.75E-02	4.90E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	regulation of viral life cycle	GO:1903900	7.19E-02	4.78E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	centromere complex assembly	GO:0034508	7.60E-02	3.78E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	CENP-A containing nucleosome assembly	GO:0034080	6.18E-02	3.59E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	nucleosome positioning	GO:0016584	2.10E-02	1.72E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	transcription from mitochondrial promoter	GO:0006390	1.81E-02	2.09E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	transcription initiation from mitochondrial promoter	GO:0006391	9.07E-03	7.66E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of interferon-alpha production	GO:0032727	3.58E-02	3.05E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of chemokine (C-C motif) ligand 5 production	GO:0071651	1.21E-02	1.53E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cellular response to exogenous dsRNA	GO:0071360	2.70E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	"positive regulation of protein import into nucleus, translocation"	GO:0033160	2.10E-02	2.49E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of type I interferon-mediated signaling pathway	GO:0060340	2.10E-02	2.10E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	"regulation of protein import into nucleus, translocation"	GO:0033158	4.17E-02	4.36E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	positive regulation of defense response to virus by host	GO:0002230	4.46E-02	5.62E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	RIG-I signaling pathway	GO:0039529	9.07E-03	9.57E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_bp	PPI-InWeb	PPI-InWeb_Consensus_mod283	cytoplasmic pattern recognition receptor signaling pathway in response to virus	GO:0039528	1.51E-02	1.34E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	prefoldin complex	GO:0016272	1.90E-02	3.12E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	ubiquitin ligase complex	GO:0000151	2.00E-03	2.42E-03	1.00E+00	1.00E+00	3.01E-01	3.91E-01
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	cullin-RING ubiquitin ligase complex	GO:0031461	2.81E-03	4.29E-03	1.00E+00	1.00E+00	4.02E-01	6.21E-01
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	SCF ubiquitin ligase complex	GO:0019005	4.46E-03	7.60E-03	1.00E+00	1.00E+00	5.83E-01	9.33E-01
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	eukaryotic translation initiation factor 4F complex	GO:0016281	2.17E-02	2.31E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	rough endoplasmic reticulum membrane	GO:0030867	4.02E-02	2.93E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	smooth endoplasmic reticulum	GO:0005790	7.64E-02	2.39E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	endoplasmic reticulum Sec complex	GO:0031205	8.17E-03	4.40E-03	1.00E+00	1.00E+00	9.22E-01	6.32E-01
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	tetraspanin-enriched microdomain	GO:0097197	1.09E-02	1.32E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	Cul2-RING ubiquitin ligase complex	GO:0031462	1.90E-02	2.49E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	ficolin-1-rich granule lumen	GO:1904813	3.68E-02	2.54E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	I-kappaB/NF-kappaB complex	GO:0033256	1.90E-02	2.48E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_cc	PPI-InWeb	PPI-InWeb_Consensus_mod283	R2TP complex	GO:0097255	1.36E-02	1.05E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	glutathione transferase activity	GO:0004364	4.79E-02	3.92E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	ubiquitin protein ligase activity	GO:0061630	6.36E-02	4.92E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein phosphorylated amino acid binding	GO:0045309	5.82E-02	2.91E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	translation repressor activity	GO:0030371	4.01E-02	4.25E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	eukaryotic initiation factor 4E binding	GO:0008190	2.42E-02	2.12E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein kinase regulator activity	GO:0019887	6.84E-03	2.62E-03	1.00E+00	1.00E+00	9.57E-01	4.85E-01
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	kinase binding	GO:0019900	4.79E-02	2.51E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	kinase regulator activity	GO:0019207	8.96E-03	3.32E-03	1.00E+00	1.00E+00	1.00E+00	5.83E-01
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	misfolded protein binding	GO:0051787	2.95E-02	2.25E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	macrolide binding	GO:0005527	2.95E-02	2.03E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	FK506 binding	GO:0005528	2.95E-02	2.03E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"lysine N-acetyltransferase activity, acting on acetyl phosphate as donor"	GO:0004468	8.14E-03	5.66E-03	1.00E+00	1.00E+00	1.00E+00	8.63E-01
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	kinase activator activity	GO:0019209	1.10E-02	5.79E-03	1.00E+00	1.00E+00	1.00E+00	8.77E-01
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein serine/threonine kinase activator activity	GO:0043539	5.31E-02	3.73E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	protein kinase activator activity	GO:0030295	9.65E-03	4.90E-03	1.00E+00	1.00E+00	1.00E+00	7.82E-01
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	LRR domain binding	GO:0030275	4.53E-02	3.95E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	NF-kappaB binding	GO:0051059	4.96E-05	2.22E-05	1.00E+00	1.00E+00	1.57E-02	9.21E-03
